Date,HDFCBANK.NS,RELIANCE.NS,TCS.NS
2024-09-11,1643.9000244140625,1451.5,4457.82568359375
2024-09-12,1666.5999755859375,1479.800048828125,4495.99169921875
2024-09-13,1665.949951171875,1472.625,4500.86767578125
2024-09-16,1670.949951171875,1471.3499755859375,4491.5625
2024-09-17,1668.800048828125,1472.300048828125,4483.9990234375
2024-09-18,1694.800048828125,1463.449951171875,4325.265625
2024-09-19,1708.5,1469.675048828125,4275.50537109375
2024-09-20,1741.199951171875,1485.925048828125,4264.3095703125
2024-09-23,1759.800048828125,1493.375,4247.98876953125
2024-09-24,1768.050048828125,1489.375,4250.77490234375
2024-09-25,1779.0999755859375,1493.949951171875,4254.208984375
2024-09-26,1783.449951171875,1497.949951171875,4271.873046875
2024-09-27,1752.6500244140625,1526.175048828125,4287.99560546875
2024-09-30,1732.050048828125,1476.574951171875,4247.98876953125
2024-10-01,1726.199951171875,1464.824951171875,4267.29541015625
2024-10-03,1682.0,1406.9749755859375,4212.41064453125
2024-10-04,1657.6500244140625,1386.5250244140625,4231.81689453125
2024-10-07,1617.800048828125,1370.7249755859375,4252.31787109375
2024-10-08,1651.050048828125,1397.3499755859375,4232.81201171875
2024-10-09,1633.1500244140625,1374.5999755859375,4232.513671875
2024-10-10,1662.4000244140625,1371.050048828125,4207.0859375
2024-10-11,1651.0,1372.0999755859375,4129.26220703125
2024-10-14,1688.0999755859375,1372.5250244140625,4116.77197265625
2024-10-15,1684.0999755859375,1344.0250244140625,4097.017578125
2024-10-16,1699.800048828125,1354.074951171875,4075.272705078125
2024-10-17,1673.1500244140625,1356.425048828125,4089.25537109375
2024-10-18,1681.8499755859375,1359.300048828125,4113.24755859375
2024-10-21,1728.699951171875,1369.199951171875,4070.150634765625
2024-10-22,1714.550048828125,1343.3499755859375,4005.95361328125
2024-10-23,1735.800048828125,1338.5250244140625,4056.5830078125
2024-10-24,1749.6500244140625,1339.800048828125,4038.2763671875
2024-10-25,1743.4000244140625,1327.8499755859375,4047.903564453125
2024-10-28,1734.199951171875,1334.3499755859375,4081.12451171875
2024-10-29,1751.8499755859375,1340.0,4065.5615234375
2024-10-30,1734.5999755859375,1343.9000244140625,4074.939208984375
2024-10-31,1735.699951171875,1332.050048828125,3959.015380859375
2024-11-01,1737.300048828125,1338.6500244140625,3974.72802734375
2024-11-04,1714.0999755859375,1302.1500244140625,3954.7255859375
2024-11-05,1757.8499755859375,1305.300048828125,3961.90869140625
2024-11-06,1755.25,1325.3499755859375,4129.80810546875
2024-11-07,1746.550048828125,1305.6500244140625,4141.03173828125
2024-11-08,1754.449951171875,1283.75,4137.14111328125
2024-11-11,1766.300048828125,1272.699951171875,4188.71826171875
2024-11-12,1718.199951171875,1274.25,4187.4208984375
2024-11-13,1681.3499755859375,1252.050048828125,4140.48291015625
2024-11-14,1692.75,1267.5999755859375,4136.04345703125
2024-11-18,1705.0999755859375,1260.75,4009.944091796875
2024-11-19,1742.25,1241.6500244140625,4029.946533203125
2024-11-21,1741.199951171875,1223.0,4063.167236328125
2024-11-22,1745.5999755859375,1265.4000244140625,4234.5087890625
2024-11-25,1785.5999755859375,1287.0,4304.84130859375
2024-11-26,1785.550048828125,1295.699951171875,4342.35205078125
2024-11-27,1812.300048828125,1293.199951171875,4322.24951171875
2024-11-28,1793.1500244140625,1270.800048828125,4234.80810546875
2024-11-29,1796.050048828125,1292.199951171875,4260.69677734375
2024-12-02,1804.699951171875,1309.1500244140625,4266.482421875
2024-12-03,1826.300048828125,1323.300048828125,4292.5205078125
2024-12-04,1860.0999755859375,1308.949951171875,4344.0478515625
2024-12-05,1865.75,1322.050048828125,4453.43701171875
2024-12-06,1855.8499755859375,1311.550048828125,4434.93115234375
2024-12-09,1870.0,1295.1500244140625,4441.5654296875
2024-12-10,1868.0999755859375,1284.8499755859375,4422.01171875
2024-12-11,1863.0999755859375,1278.199951171875,4416.92431640625
2024-12-12,1859.25,1262.9000244140625,4444.35888671875
2024-12-13,1871.75,1272.8499755859375,4463.263671875
2024-12-16,1865.199951171875,1268.300048828125,4404.70361328125
2024-12-17,1833.25,1245.300048828125,4318.20947265625
2024-12-18,1810.699951171875,1253.25,4337.513671875
2024-12-19,1793.5,1230.449951171875,4261.744140625
2024-12-20,1771.5,1205.300048828125,4160.38525390625
2024-12-23,1801.0,1222.300048828125,4148.4140625
2024-12-24,1798.0999755859375,1222.75,4169.5634765625
2024-12-26,1790.75,1216.550048828125,4159.1884765625
2024-12-27,1798.25,1221.050048828125,4154.94873046875
2024-12-30,1777.9000244140625,1210.699951171875,4148.91259765625
2024-12-31,1772.8499755859375,1215.449951171875,4085.065185546875
2025-01-01,1782.75,1221.25,4102.67333984375
2025-01-02,1793.75,1241.800048828125,4165.82275390625
2025-01-03,1749.199951171875,1251.1500244140625,4090.15283203125
2025-01-06,1710.5,1218.0,4085.2646484375
2025-01-07,1713.4000244140625,1240.8499755859375,4018.72314453125
2025-01-08,1694.300048828125,1265.5,4098.6328125
2025-01-09,1667.800048828125,1254.75,4029.248291015625
